[0.3162278, 0.9486833, 0, 0, 0, 0, 0]
[0.4472136, 0.8944272, 0, 0, 0, 0, 0]
[0.7071068, 0.7071068, 0, 0, 0, 0, 0]
[1, 0, 0, 0, 0, 0, 0]
[-0.4472136, -0.8944272, 1, 0, 0, 0, 1]
[-0.6, -0.8, 0, -1, 0, 0, 2]
[-0.7071068, -0.7071068, 0, -1, 0, 0, 2]
[-0.8320503, -0.5547002, 0, -1, 0, 0, 2]
[-0.9486833, -0.3162278, 0, -1, 0, 0, 2]
[-1, 0, 0, -1, 0, 0, 2]
[-0.9486833, 0.3162278, -1, 0, 0, 0, -1]
[-0.8944272, 0.4472136, 0, 1, 0, 0, 0]
[-1, 0, -1, 0, -1, 0, -1]
[-3.973643E-08, -1, -1, -5.960464E-08, 0, 0, -1]
[0.3162278, -0.9486833, -0.7071068, -0.7071068, 0, 0, 2]
[0.5547002, -0.8320503, 0, -1, 0, 0, 2]
[0.7071068, -0.7071068, 0, -1, 0, 0, 2]
[0.8944272, -0.4472136, 0.7071068, -0.7071068, 1, 0, 1]
[0.857493, 0.5144958, 1, 0, 0, 0, 1]
[0.7808688, 0.6246951, 1, 0, 0, 0, 1]
[0.7071068, 0.7071068, 1, 0, 0, 0, 1]
[0.6, 0.8, 1, 0, 0, 0, 1]
[0.4472136, 0.8944272, 0.7071068, 0.7071068, 0, 0, 0]
[0.2425356, 0.9701425, 0, 1, 0, 0, 0]
[0, 1, 0, 1, 0, 1, 0]
[-0.7592566, 0.6507913, 0, 1, 0, 0, 0]
[-0.8137335, 0.5812382, 0, 1, 0, 0, 0]
[-0.8682432, 0.4961389, 0, 1, 0, 0, 0]
[-0.919145, 0.3939193, -0.4472136, 0.8944272, 0, 0, -1]
[-0.961524, 0.2747211, -0.8944272, 0.4472136, 0, 0, -1]
[-0.9899495, 0.1414214, -1, 0, 0, 0, -1]
[-1, 0, -1, 0, 0, 0, -1]
[-1, 0, -1, 0, 0, 0, -1]
[-1, 0, -1, 0, -1, 0, -1]
[-0.7071068, 0.7071067, -1, 0, 0, 0, -1]
[0, 1, -0.8944272, 0.4472136, 0, 0, 0]
[0.7071068, 0.7071068, 0, 1, 0, 0, 1]
[0.8944272, 0.4472136, 0.8944272, 0.4472136, 0, 0, 1]
[0.9486833, 0.3162278, 1, 0, 1, 0, 1]
[0.7071068, -0.7071068, 1, 0, 0, 0, 1]
[0.8944272, -0.4472136, 1, 0, 0, 0, 1]
[0.7071068, -0.7071068, 0.9486833, -0.3162278, 0, 0, 2]
[0.4472136, -0.8944272, 0.7071068, -0.7071068, 0, 0, 2]
[0, -1, 0, -1, 0, 0, -1]
[-0.4472136, -0.8944272, -0.7071068, -0.7071068, -1, 0, -1]
[0.4961389, -0.8682432, -0.9486833, -0.3162278, 0, 0, -1]
[0.3939193, -0.919145, -0.9486833, -0.3162278, 0, 0, 2]
[0.2747211, -0.961524, -0.7071068, -0.7071068, 0, 0, 2]
[0.3162278, -0.9486833, -0.3162278, -0.9486833, 0, 0, 2]
[0.3713907, -0.9284767, 0, -1, 0, 0, 2]
[0.5144958, -0.857493, 0, -1, 0, 0, 2]
[0.6246951, -0.7808688, 0.3162278, -0.9486833, 0, 0, 1]
[0.7071068, -0.7071068, 0.7071068, -0.7071068, 0, 0, 1]
[0.7808688, -0.6246951, 0.9486833, -0.3162278, 0, 0, 1]
[0.857493, -0.5144958, 1, 0, 1, 0, 1]
